scenario_type,category,samples,OpenLane-V2 Score,DET_l,DET_t,TOP_ll,TOP_lt,delta_OpenLane-V2 Score,delta_DET_l,delta_DET_t,delta_TOP_ll,delta_TOP_lt
occlusion,high occlusion,9633,0.7164318249093896,0.6402687430381775,0.906684637069702,0.317593105343548,0.5703571343220696,0.009624114273123485,0.013665199279785156,0.0100724697113036,0.001912437154554636,0.01955498115721077
occlusion,low occlusion,12844,0.699091624466452,0.6191238803549446,0.887685460943702,0.31397291975966113,0.5322555810886275,-0.007716086169814118,-0.007479663403447745,-0.008926706414696395,-0.0017077484293322454,-0.018546572076231338
