scenario_type,category,samples,OpenLane-V2 Score,DET_l,DET_t,TOP_ll,TOP_lt,delta_OpenLane-V2 Score,delta_DET_l,delta_DET_t,delta_TOP_ll,delta_TOP_lt
curvature,high curvature,207,0.6711224136375329,0.5986946225166321,0.8891835808753967,0.2524326747594071,0.4818923500741682,-0.03568529699873324,-0.027908921241760254,-0.007428586483001709,-0.06324799342958626,-0.06890980309069061
curvature,low curvature,286,0.572708591561045,0.5350595116615295,0.5686240792274475,0.2266243951380657,0.5056631287075771,-0.1340991190752211,-0.09154403209686279,-0.3279880881309509,-0.08905627305092767,-0.045139024457281685
curvature,medium curvature,243,0.5936238044614446,0.476824402809143,0.8836482167243958,0.1256243207918465,0.4350555177883526,-0.11318390617482155,-0.14977914094924932,-0.012963950634002686,-0.19005634739714689,-0.1157466353765062
curvature,straight,21741,0.709054428334998,0.6296588778495789,0.896417498588562,0.320085878897078,0.5541015994463611,0.0022467176987318593,0.0030553340911865234,-0.00019466876983642578,0.004405210708084639,0.0032994462815022496
lighting,poorly lit,362,0.6000019926123297,0.541822075843811,0.6765956282615662,0.231977752652347,0.4899294117657448,-0.10680571802393646,-0.0847814679145813,-0.22001653909683228,-0.08370291553664638,-0.06087274139911403
lighting,well lit,22115,0.7075267817499812,0.6277070045471191,0.8966946005821228,0.3169493878048864,0.5516373651865345,0.0007190711137150529,0.0011034607887268066,8.243322372436523e-05,0.0012687196158930325,0.0008352120216756909
occlusion,high occlusion,9633,0.7164318249093896,0.6402687430381775,0.906684637069702,0.317593105343548,0.5703571343220696,0.009624114273123485,0.013665199279785156,0.0100724697113036,0.001912437154554636,0.01955498115721077
occlusion,low occlusion,12844,0.699091624466452,0.6191238803549446,0.887685460943702,0.31397291975966113,0.5322555810886275,-0.007716086169814118,-0.007479663403447745,-0.008926706414696395,-0.0017077484293322454,-0.018546572076231338
