category,samples,avg_lanes,avg_traffic_elements,avg_lane_conf_mean,avg_te_conf_mean
high occlusion,9633,200.0,100.0,0.15271802205462068,0.05769399997368215
low occlusion,12836,200.0,100.0,0.14216609188789678,0.04623862554756858
occlusion_unknown,8,200.0,100.0,0.049586174078285694,0.01627295557409525
