scenario_type,category,samples,OpenLane-V2 Score,DET_l,DET_t,TOP_ll,TOP_lt,delta_OpenLane-V2 Score,delta_DET_l,delta_DET_t,delta_TOP_ll,delta_TOP_lt
curvature,high curvature,207,0.6711224136375329,0.5986946225166321,0.8891835808753967,0.2524326747594071,0.48189235007416825,-0.03568529699873324,-0.027908921241760254,-0.007428586483001709,-0.06324799342958631,-0.06890980309069056
curvature,low curvature,286,0.572708591561045,0.5350595116615295,0.5686240792274475,0.22662439513806573,0.5056631287075771,-0.1340991190752211,-0.09154403209686279,-0.3279880881309509,-0.0890562730509277,-0.045139024457281685
curvature,medium curvature,243,0.5936238044614446,0.47682440280914307,0.8836482167243958,0.12562432079184657,0.4350555177883526,-0.11318390617482155,-0.14977914094924927,-0.012963950634002686,-0.19005634739714686,-0.1157466353765062
curvature,straight,21741,0.709054428334998,0.6296588778495789,0.896417498588562,0.320085878897078,0.5541015994463611,0.0022467176987318593,0.0030553340911865234,-0.00019466876983642578,0.004405210708084584,0.0032994462815022496
lighting,poorly lit,362,0.6000019926123297,0.541822075843811,0.6765956282615662,0.231977752652347,0.4899294117657448,-0.10680571802393646,-0.0847814679145813,-0.22001653909683228,-0.08370291553664644,-0.06087274139911403
lighting,well lit,22115,0.7075267817499812,0.6277070045471191,0.8966946005821228,0.3169493878048864,0.5516373651865345,0.0007190711137150529,0.0011034607887268066,8.243322372436523e-05,0.001268719615892977,0.0008352120216756909
occlusion,high occlusion,9633,0.7164318249093896,0.6402687430381775,0.9066846370697021,0.31759310534354807,0.5703571343220696,0.009624114273123485,0.013665199279785156,0.010072469711303711,0.001912437154554636,0.01955498115721077
occlusion,low occlusion,12836,0.6994633274737025,0.6194254755973816,0.8881428241729736,0.31415936918623943,0.5325873078453047,-0.007344383162563584,-0.007178068161010742,-0.008469343185424805,-0.0015212990027539952,-0.018214845319554085
occlusion,occlusion_unknown,8,0.10269414933302864,0.13521431386470795,0.1538461595773697,0.014814814814814815,0.0,-0.6041135613032375,-0.4913892298936844,-0.7427660077810287,-0.3008658533741786,-0.5508021531648588
