scenario_type,category,samples,OpenLane-V2 Score,DET_l,DET_t,TOP_ll,TOP_lt,delta_OpenLane-V2 Score,delta_DET_l,delta_DET_t,delta_TOP_ll,delta_TOP_lt
curvature,high curvature,207,0.6711224136375329,0.5986946225166321,0.8891835808753967,0.2524326747594071,0.48189235007416825,-0.03568529699873324,-0.027908921241760254,-0.007428586483001709,-0.06324799342958631,-0.06890980309069056
curvature,low curvature,286,0.572708591561045,0.5350595116615295,0.5686240792274475,0.22662439513806573,0.5056631287075771,-0.1340991190752211,-0.09154403209686279,-0.3279880881309509,-0.0890562730509277,-0.045139024457281685
curvature,medium curvature,243,0.5936238044614446,0.47682440280914307,0.8836482167243958,0.12562432079184657,0.4350555177883526,-0.11318390617482155,-0.14977914094924927,-0.012963950634002686,-0.19005634739714686,-0.1157466353765062
curvature,straight,21741,0.709054428334998,0.6296588778495789,0.896417498588562,0.320085878897078,0.5541015994463611,0.0022467176987318593,0.0030553340911865234,-0.00019466876983642578,0.004405210708084584,0.0032994462815022496
