scenario_type,category,samples,OpenLane-V2 Score,DET_l,DET_t,TOP_ll,TOP_lt,delta_OpenLane-V2 Score,delta_DET_l,delta_DET_t,delta_TOP_ll,delta_TOP_lt
occlusion,high occlusion,9633,0.7164318249093896,0.6402687430381775,0.9066846370697021,0.31759310534354807,0.5703571343220696,0.009624114273123485,0.013665199279785156,0.010072469711303711,0.001912437154554636,0.01955498115721077
occlusion,low occlusion,12836,0.6994633274737025,0.6194254755973816,0.8881428241729736,0.31415936918623943,0.5325873078453047,-0.007344383162563584,-0.007178068161010742,-0.008469343185424805,-0.0015212990027539952,-0.018214845319554085
occlusion,occlusion_unknown,8,0.10269414933302864,0.13521431386470795,0.1538461595773697,0.014814814814814815,0.0,-0.6041135613032375,-0.4913892298936844,-0.7427660077810287,-0.3008658533741786,-0.5508021531648588
