category,samples,avg_lanes,avg_traffic_elements,avg_lane_conf_mean,avg_te_conf_mean
high curvature,207,200.0,100.0,0.15108779394900165,0.04491746085493461
low curvature,286,200.0,100.0,0.1569930671264867,0.05144884666896887
medium curvature,243,200.0,100.0,0.17170964565833288,0.06041364672635931
straight,21741,200.0,100.0,0.14619717201955923,0.05108884974108189
